"season","avg_home_team_score","avg_visitor_team_score","avg_fgm","avg_fga","avg_fg3m","avg_fg3a","avg_ftm","avg_fta","avg_reb","avg_ast","avg_stl","avg_blk","avg_turnover","avg_pf","avg_pts"
1976,"109.0659685863874346","103.9287958115183246","4.2571991398193529","8.99795590533339654346","0.00000000000000000000","0.00000000000000000000","2.06892956370505264359","2.75575379555923645595","4.64037607511012992227","2.33337639981873455065","0.62452469009507578506","0.36023051627430497843","0.00000000000000000000","2.45959351930341521919","10.5833278433437584"
1977,"110.9317943336831060","106.1238195173137461","4.4546555271023769","9.38979990490456585792","0.00000000000000000000","0.00000000000000000000","2.18288081365946188176","2.90484564089925696442","4.81010079524833289705","2.52009127998679205804","0.68523416924827861196","0.39114501019562181269","1.03947710193520301851","2.53896966610200332982","11.0921918678642156"
1978,"112.5528795811518325","107.8000000000000000","4.5248520395795966","9.21528952007376907953","0.00000000000000000000","0.00000000000000000000","2.16501441743465889723","2.8798514158436290","4.57646760488714934889","2.57262531632645499310","0.71345810247279584531","0.44074884319216351824","1.28986391667592022238","2.54142671066991280864","11.2147184965938521"
1979,"111.4894736842105263","107.3389473684210526","4.4634491990954025","9.12176810505953409587","0.08054571483592177742","0.24503488309619155314","2.16602383250790452937","2.83435664267385792670","4.55757188678375740422","2.60884222741392368228","0.70263569092540902816","0.44540818994432323434","1.25116894685348327277","2.44299434026947470008","11.1734679455346312"
1980,"109.7781124497991968","105.9718875502008032","4.3634417161929672","8.93587460050481168454","0.05025372486842069575","0.17688629247946507562","2.19717174893105935919","2.9280887621083797","4.40878437938333868856","2.55808127642152900553","0.64673379924981127291","0.46012752554632147309","1.26346798678696771849","2.53170646107367248178","10.9743089061854144"
1981,"110.4111111111111111","106.7090909090909091","4.2620192265304214","8.61190991055200419091","0.05860820657360731681","0.18647003115248056245","2.09432667516024711527","2.8071934128975861","4.24564435485200545861","2.45986917249902092296","0.49279439361357275161","0.42164341521795724620","0.99414695655081611760","2.54787084860785081556","10.6769733347946972"
1982,"110.6744421906693712","106.9330628803245436","4.2761907084671120","8.8121260209422346","0.05355302728868154314","0.20720442903309367091","2.04870073809477889479","2.7672889678821424","4.35359150124767168405","2.5439185524530219","0.73848211498379880773","0.51281867319958102005","1.51057947786041181048","2.50252952380809755283","10.6546351823176845"
1983,"112.3610567514677104","107.5763209393346380","4.2131568219180393","8.5731053914128343","0.06094429800525754158","0.24012147632481772846","2.19788013050067676142","2.8908437504434403","4.1779384612014921","2.5314858952639383","0.81832657688075111330","0.51417469739590710475","1.69658356166858113114","2.5077158641939069","10.6851380723420130"
1984,"112.7942631058358061","109.0494559841740851","4.3192917885605896","8.7938889890516526","0.08976045001419036848","0.31401822607721636828","2.22451630038237758509","2.9079426293008891","4.2432037114878648","2.5684889726694479","0.83198968873272658291","0.51335519767212192370","1.69733683746414252016","2.4344956142168866","10.9528603275177471"
1985,"112.5401387512388503","107.8880079286422200","4.2420281501714803","8.6970785362865322","0.09567629440562056619","0.33425564867215016264","2.24075642307860805677","2.9624667782957456","4.2697114179113494","2.5561346900523547","0.85632349867955690955","0.51706594854257913584","1.69849325799881717240","2.4651549288366491","10.8204890178271893"
1986,"112.5384615384615385","107.3668639053254438","4.2079286187136012","8.7485031108934186","0.14245281910266844568","0.47116275856270886138","2.30049204536912531529","3.0127546429651227","4.3290315098438409","2.5608609319815792","0.84040410159458949485","0.54243457260771165749","1.62974863368474166012","2.4253355008103810","10.8588021018989961"
1987,"110.7497556207233627","104.9706744868035191","4.1620349923536512","8.6701819003466190","0.15888641065287906608","0.50284490987649016597","2.20474624217625410971","2.8744647679365451","4.2910631879111541","2.5432864284488349","0.83113786505247664992","0.52854456709704275194","1.60327164391454924439","2.3806536691122747","10.6877026375364356"
1988,"111.6218951241950322","106.2033118675252990","4.1690287953955240","8.7420634444709194","0.21440492904097827397","0.66679041518908760150","2.18138914716107355878","2.8381728093516371","4.3206422246530008","2.5096608221902746","0.88081272242076243263","0.52322649912725876248","1.64515446226221912901","2.3344686045406794","10.7338516669930998"
1989,"109.4639525021204411","104.3418150975402884","4.1210019145517606","8.6559735090594315","0.22053308290448210787","0.66986880078161597478","2.17795897652775588458","2.85002711137218742241","4.2864291543440584","2.46751982039553406411","0.84223559488090431928","0.50394776728850832230","1.54560018149231403747","2.3243322757036079","10.6404958885357593"
1990,"108.4991482112436116","103.8790459965928450","4.0806619030043728","8.6077030456047774","0.22940462830093181978","0.71774033031544085071","2.12392353121926272523","2.7726270114341070","4.2713018028440757","2.4378046355670748","0.84022423206771407800","0.51462584403321879929","1.52856346803849517196","2.3013087646548134","10.5146519655289402"
1991,"107.4432203389830508","102.8686440677966102","4.1049100651900448","8.6922727534085708","0.25408632986766863173","0.76814280119873636773","2.03795611935825163454","2.6826050077801274","4.3436413986278095","2.4380295175661066","0.85468939590112541454","0.54955896503169158899","1.49708756174326568468","2.2328008643448964","10.5018625796060098"
1992,"106.9044801352493660","102.7903634826711750","4.0241073380268937","8.5139589059526001","0.30329105420135671349","0.89841974649054935862","2.06380093581671449181","2.73838378721138813449","4.2732547387686736","2.44540422768457689513","0.84408333289440740400","0.51867532683748538153","1.51944129329450294643","2.2975646122575516","10.4153066660718586"
1993,"103.0388513513513514","98.9375000000000000","3.8671213806793124","8.3381338824874084","0.33471116397228382352","1.00287639333860224903","1.94558466796139682833","2.64696965321055668041","4.2560669447132653","2.3984045510037926","0.87122094047424677407","0.51926527706678761668","1.51997040107922082369","2.2108363335431666","10.0145385932923055"
